instruction,response
Burs ve kredi olanakları hakkında bilgi alabilir miyim?,"Bir öğrencinin üniversite eğitimi için maddi destek sağlayabilecek farklı finansal yardım programları hakkında bilgi almak istediği bir sorudur. Bu soru, öğrencinin eğitim masraflarını karşılamak için burs, kredi veya diğer mali yardım seçeneklerini araştırdığı bir durumda kullanılır. Burslar, genellikle akademik başarıya, finansal ihtiyaca veya belirli bir alanda liderlik veya yeteneklere dayanarak verilirken, krediler genellikle geri ödenmesi gereken finansal yardımlardır. Bu soru, öğrencilere eğitim maliyetlerini azaltmak ve finansal yükü hafifletmek için mevcut olan fırsatları keşfetmelerine yardımcı olur."
Yurt başvuruları ne zaman yapılıyor?,"Bir öğrencinin üniversitede yurt konaklaması için başvuru yapabileceği zamanı öğrenmek istediği bir sorudur. Bu soru, öğrencinin gelecek akademik yıl veya dönem için konaklama ihtiyaçlarını planlaması gerektiğinde ortaya çıkar. Yurt başvurularının zamanlaması genellikle üniversite veya kolejdeki öğrenci konutlarının doluluk oranına, öğrenci başvuru sayısına ve kurumun belirlediği başvuru süresine bağlı olarak değişebilir. Öğrenciler genellikle yurt başvurularını kayıt dönemi öncesinde veya dönem başlamadan önce belirli bir süre içinde yaparlar. Bu soru, öğrencilere yurt konaklama planlarını yapmak ve gereken başvuru sürelerini kaçırmamak için zamanında hareket etmelerine yardımcı olur."
Üniversitenin kablosuz internet şifresi nedir?,"Bir öğrencinin üniversite kampüsünde kablosuz internete erişmek için gereken şifreyi öğrenmek istediği bir sorudur. Bu soru, öğrencinin kampüs genelinde internete erişim sağlamak ve akademik çalışmalarını yapmak veya diğer çevrimiçi aktiviteleri gerçekleştirmek için gerekli olan bilgiyi öğrenmek istediği zaman kullanılır. Kablosuz internet şifresi genellikle üniversitenin bilgi teknolojileri departmanı veya kampüs yönetimi tarafından sağlanır ve öğrencilere kullanım kolaylığı ve güvenlik sağlamak için düzenli olarak güncellenir. Bu soru, öğrencilere kampüs içindeki internete erişim sağlamak için gerekli olan bilgiyi öğrenmelerine yardımcı olur."
Öğrenci e-posta adresimi nasıl aktif hale getirebilirim?,"Bir öğrencinin üniversite tarafından sağlanan öğrenci e-posta hesabını etkinleştirmek ve kullanılabilir hale getirmek istediği bir sorudur. Bu soru, öğrencinin kampüs içi iletişim için gereken e-posta hesabını nasıl oluşturacağını ve etkinleştireceğini öğrenmek istediği bir durumda kullanılır. Öğrenci e-posta hesapları genellikle üniversitenin bilgi teknolojileri departmanı veya kampüs yönetimi tarafından sağlanır ve öğrencilere ders duyuruları, akademik bilgiler, etkinlikler ve diğer önemli iletiler için kullanılır. Bu soru, öğrencilere kampüs içindeki iletişim kanallarını etkinleştirmek ve güncel bilgilerden haberdar olmak için gerekli adımları anlamalarına yardımcı olur."
Öğrenci Bilgi Sistemine (OBS) nasıl giriş yapabilirim?,"Bir öğrencinin üniversite tarafından sağlanan Öğrenci Bilgi Sistemi veya Öğrenci İşleri Sistemi gibi çevrimiçi platformlara erişim sağlamak istediği bir sorudur. Bu soru, öğrencinin ders kaydı, notlar, akademik takvim, mali işler ve diğer öğrenci bilgilerine erişmek veya güncellemek için gerekli olan adımları öğrenmek istediği zaman kullanılır. Öğrenci Bilgi Sistemine genellikle öğrencilere sağlanan kullanıcı adı ve şifre ile erişim sağlanır. Bu bilgileri öğrenciye sağlayan genellikle üniversitenin bilgi teknolojileri departmanı veya öğrenci işleri birimi olabilir. Bu soru, öğrencilere akademik ve kişisel bilgilerini yönetmek için gerekli olan çevrimiçi platforma erişim sağlama konusunda rehberlik sağlar."
Yazılım Mühendisliği laboratuvarları nerede ve ne zaman açık?,"Bir öğrencinin üniversitede Yazılım Mühendisliği laboratuvarlarını bulmak ve kullanım saatleri hakkında bilgi almak istediği bir sorudur. Bu soru, öğrencinin programlama, yazılım geliştirme veya diğer teknik uygulamalar için laboratuvar kaynaklarını nasıl kullanabileceğini öğrenmek istediği bir durumda kullanılır. Yazılım Mühendisliği laboratuvarları genellikle bilgisayar laboratuvarları veya teknoloji merkezlerinde bulunur. Laboratuvarların açık olduğu saatler genellikle üniversitenin akademik takvimine ve laboratuvarın kapasitesine bağlı olarak değişir. Bu bilgiler genellikle üniversitenin web sitesinde veya bilgi teknolojileri departmanı tarafından sağlanır. Bu soru, öğrencilere programlama becerilerini geliştirmek ve yazılım projeleri üzerinde çalışmak için uygun zaman ve kaynaklara nasıl erişebileceklerini öğrenmelerine yardımcı olur."
Bölüm başkanının iletişim bilgileri nedir?,"Bir öğrencinin kendi bölüm başkanıyla iletişime geçmek ve akademik veya idari konularda bilgi almak istediği bir sorudur. Bu soru, öğrencinin bölüm başkanının ofis adresi, e-posta adresi veya telefon numarası gibi iletişim bilgilerini öğrenmek istediği bir durumda kullanılır. Öğrenciler genellikle bölüm başkanlarıyla ders seçimi, akademik danışmanlık, mezuniyet gereksinimleri, araştırma fırsatları veya diğer öğrenci konuları hakkında iletişime geçerler. Bölüm başkanının iletişim bilgileri genellikle bölüm web sitesinde veya üniversite rehberinde bulunabilir. Bu bilgiler ayrıca bölüm ofisinde veya bölümün ilgili personeli tarafından da sağlanabilir. Bu soru, öğrencilere bölüm başkanlarıyla iletişim kurma ve akademik veya idari konularda rehberlik almak için gerekli olan iletişim bilgilerini öğrenmelerine yardımcı olur."
Ders kaydı işlemleri ne zaman yapılıyor?,"Bir öğrencinin üniversite de bir sonraki akademik dönem veya yıl için ders kaydı işlemlerini ne zaman tamamlaması gerektiğini öğrenmek istediği bir sorudur. Bu soru, öğrencinin ders seçimini yapması, ders programını düzenlemesi ve akademik hedeflerine uygun dersleri belirlemesi gereken bir zamanda ortaya çıkar. Ders kaydı işlemlerinin zamanlaması genellikle üniversitenin akademik takvimine bağlıdır ve ders kaydı için belirlenen açık olan süre içinde tamamlanmalıdır. Bu süre genellikle birkaç gün veya hafta sürebilir ve ders kaydı işlemlerini tamamlamak için belirli bir zaman dilimi içinde başvuruda bulunmak önemlidir. Bu soru, öğrencilere ders kaydı işlemlerini zamanında tamamlamaları ve istedikleri dersleri almak için gereken adımları atma konusunda rehberlik sağlar."
"Öğrenci kimlik kartımı kaybettim, ne yapmalıyım?","Bir öğrencinin üniversitede öğrenci kimlik kartını kaybettiğinde ne yapması gerektiğini öğrenmek istediği bir sorudur. Bu soru, öğrencinin kayıp kimlik kartını yeniden çıkarmak veya geçici bir çözüm bulmak için gereken adımları öğrenmek istediği bir durumda kullanılır. Öğrenci kimlik kartları genellikle kampüs içinde öğrenci hizmetleri birimi veya bilgi teknolojileri departmanı tarafından yeniden düzenlenebilir veya değiştirilebilir. Bu süreç genellikle kimlik kartı ücreti ödenmesi ve kimlik kartı için gerekli olan belgelerin sunulması gerektirir. Ayrıca, öğrencilerin kimlik kartlarını kaybettiklerinde, kartın kullanılamaz hale gelmesini önlemek için kartın kayıp olduğunu bildirmeleri ve gerekirse kampüs güvenlik birimiyle iletişime geçmeleri önemlidir. Bu soru, öğrencilere kayıp kimlik kartlarını yeniden çıkarmak için gereken adımları ve kampüs içindeki ilgili departmanlarla nasıl iletişim kuracaklarını öğrenmelerine yardımcı olur."
Yazılım Mühendisliği bölümü mezunlarının genel olarak neler yapabiliyor ve ne kadar para kazanıyorlar?,"Bir kişinin Yazılım Mühendisliği bölümünden mezun olanların iş olanakları ve potansiyel gelir düzeyleri hakkında bilgi almak istediği bir sorudur. Bu soru, kişinin bu alandaki kariyer seçenekleri hakkında bilgi edinmek, mezun olduktan sonra hangi işlerde çalışabileceklerini ve ne kadar kazanabileceklerini öğrenmek istediği bir durumda kullanılır. Yazılım mühendisliği mezunları, genellikle yazılım geliştirme, yazılım testi, sistem analizi, proje yönetimi, veritabanı yönetimi ve bilgi teknolojileri danışmanlığı gibi çeşitli alanlarda kariyer yapabilirler. Maaşları ise deneyim, uzmanlık alanı, çalışma yeri ve sektör gibi faktörlere bağlı olarak değişebilir. Bu soru, potansiyel Yazılım Mühendisliği öğrencilerine, mezun olduktan sonra karşılaşabilecekleri iş olanakları ve gelir potansiyeli hakkında genel bir anlayış sağlar."
Yazılım sektöründe iş bulmak için nelere dikkat etmek gerekir?,"Yazılım sektöründe iş bulmak için dikkat edilmesi gereken bazı faktörler arasında şunlar bulunabilir:

Yetenekler ve Beceriler: Yazılım geliştirme, programlama dilleri, veritabanı yönetimi ve diğer teknik yeteneklerinizi geliştirmek önemlidir.
Eğitim ve Sertifikasyonlar: İlgili alanda eğitim almak veya sertifikalara sahip olmak, iş bulma sürecinde avantaj sağlayabilir.
Portföy: Gerçek veya hayali projeler üzerinde çalışarak bir portföy oluşturmak ve bu portföyü potansiyel işverenlere göstermek önemlidir.
Ağ Oluşturma: Yazılım topluluğuna katılarak, iş bulma ağınızı genişletmek ve endüstrideki profesyonellerle bağlantı kurmak faydalı olabilir.
İş İlanlarını Araştırma: İlgilendiğiniz şirketleri ve pozisyonları araştırarak, ihtiyaçlarınıza ve hedeflerinize en uygun olanları bulmak önemlidir.
Sürekli Öğrenme: Teknolojinin hızla değiştiği bir sektörde, yeni teknolojilere ve trendlere açık olmak ve sürekli olarak kendinizi geliştirmek önemlidir."
Öğrenciler hangi araştırma projelerine katılabilir?,"Bir öğrencinin üniversitede araştırma fırsatlarını öğrenmek ve katılabileceği araştırma projeleri hakkında bilgi almak istediği bir sorudur. Bu soru, öğrencinin akademik ilgi alanlarına ve kariyer hedeflerine uygun araştırma projelerini bulma ve bu projelere nasıl katılabileceğini anlama isteğiyle ortaya çıkar. Öğrenciler genellikle akademik birimler, bölümler veya araştırma laboratuvarları tarafından sunulan araştırma fırsatlarına katılabilirler. Bu fırsatlar genellikle öğrencilerin belirli bir alanda derinlemesine çalışmalarını, akademik bilgi ve becerilerini geliştirmelerini ve potansiyel olarak yeni keşiflere katkıda bulunmalarını sağlar. Araştırma projeleri genellikle bir fakülte danışmanı veya araştırma mentorunun rehberliğinde yapılır. Öğrencilerin katılabileceği araştırma projeleri, bilim, mühendislik, sosyal bilimler, sanat ve insanlık gibi çeşitli disiplinlerde bulunabilir. Bu soru, öğrencilere kendi ilgi alanlarına ve kariyer hedeflerine uygun araştırma fırsatlarını bulma ve bu projelere nasıl katılabileceklerini öğrenme konusunda rehberlik sağlar."
Yazılım Mühendisliği lisans Bitirme Projesi için konu önerilerin var mı?,"Bir öğrencinin üniversite veya kolejdeki bitirme projesi için uygun bir konu seçimi yapmak istediği bir durumda kullanılır. Bu soru, öğrencinin akademik ilgi alanlarına, kariyer hedeflerine ve mevcut beceri düzeyine uygun bir bitirme projesi konusu bulmak istediği durumlarda ortaya çıkar. Bitirme projesi genellikle öğrencinin lisans veya yüksek lisans programını tamamlamak için gerekli olan son akademik çalışmadır ve genellikle öğrencinin uzmanlık alanında derinlemesine bir araştırma veya uygulamalı bir proje yapmasını gerektirir. Bitirme projesi konuları genellikle öğrencinin danışmanı, öğretim üyeleri veya endüstri uzmanları tarafından önerilir veya onaylanır. Öğrencilere önerilebilecek bitirme projesi konuları, alanlarının gereksinimlerine, mevcut araştırma alanlarına ve endüstri ihtiyaçlarına dayanabilir. Örnek konu önerileri, yeni bir yazılım uygulaması geliştirme, veri analizi, yapay zeka, nesnelerin interneti (IoT), siber güvenlik, çevresel mühendislik veya sosyal bilimlerde bir araştırma çalışması yapma gibi çeşitli alanlarda olabilir. Bu soru, öğrencilere bitirme projesi için uygun bir konu seçiminde rehberlik sağlar ve ilgi alanlarına ve kariyer hedeflerine uygun bir proje geliştirmelerine yardımcı olur."
Araştırma projelerine nasıl başvurabilirim?,"Bir öğrencinin üniversite veya kolejdeki araştırma projelerine katılmak istediğinde ne tür adımlar atması gerektiğini öğrenmek istediği bir sorudur. Bu soru, öğrencinin akademik veya mesleki ilgi alanlarını derinleştirmek, araştırma deneyimi kazanmak veya akademik kariyerine başlamak için araştırma projelerine katılmayı hedeflediği bir durumda kullanılır."
Hangi üniversitelerle öğrenci değişim anlaşması var?,"Bir öğrencinin kendi üniversitesindeki öğrenci değişim programları hakkında bilgi almak istediği bir sorudur. Bu soru, öğrencinin yurt dışında eğitim almak, farklı kültürleri deneyimlemek ve uluslararası akademik deneyim kazanmak için mevcut olan değişim programları hakkında bilgi edinmek istediği bir durumda kullanılır. Öğrenci değişim anlaşmaları genellikle üniversiteler arasında yapılan anlaşmalarla gerçekleşir. Bu anlaşmalar genellikle öğrenci değişimini kolaylaştırmak, ders kredilerinin transferini sağlamak ve öğrencilerin farklı ülkelerdeki üniversitelerde eğitim almasını teşvik etmek amacıyla yapılır. Öğrenciler genellikle üniversitelerinin uluslararası ilişkiler veya değişim programları ofislerinden veya web sitelerinden mevcut değişim anlaşmaları hakkında bilgi alabilirler. Bu soru, öğrencilere uluslararası öğrenci değişim fırsatlarını araştırma ve başvurma konusunda rehberlik sağlar."
Erasmus programına başvuru koşulları nelerdir?,"Bir öğrencinin Erasmus programına katılmak için gereken şartları ve başvuru sürecini öğrenmek istediği bir sorudur. Bu soru, öğrencinin yurt dışında eğitim almak, farklı bir kültürü deneyimlemek ve uluslararası akademik deneyim kazanmak için Erasmus programına katılmayı hedeflediği bir durumda kullanılır. "
Yurtdışında staj yapma imkanları var mı?,"Bir öğrencinin uluslararası staj fırsatları hakkında bilgi almak ve yurt dışında staj yapma olasılıklarını öğrenmek istediği bir sorudur. Bu soru, öğrencinin uluslararası deneyim kazanmak, farklı kültürleri deneyimlemek ve uluslararası iş deneyimi edinmek için yurtdışında staj yapma fırsatlarını araştırdığı bir durumda kullanılır. "
Kulüplere nasıl üye olabilirim?,"Bir öğrencinin üniversitede öğrenci kulüplerine katılmak ve sosyal, kültürel veya akademik faaliyetlere katılmak istediği bir sorudur. Bu soru, öğrencinin kampüsteki sosyal ağını genişletmek, yeni insanlarla tanışmak, ilgi alanlarına yönelik etkinliklere katılmak ve liderlik veya organizasyon becerilerini geliştirmek istediği bir durumda kullanılır. Üniversiteler genellikle çeşitli kulüp ve örgütler sunarlar ve öğrencilerin ilgi alanlarına ve ihtiyaçlarına yönelik farklı seçenekler bulunabilir. "
Hangi öğrenci kulüpleri var?,"Bir öğrencinin üniversitede mevcut olan öğrenci kulüpleri hakkında bilgi almak ve ilgi alanlarına uygun olanları belirlemek istediği bir sorudur. Bu soru, öğrencinin kampüs yaşamını zenginleştirmek, yeni insanlarla tanışmak, ilgi alanlarına yönelik etkinliklere katılmak ve liderlik veya organizasyon becerilerini geliştirmek istediği bir durumda kullanılır. Üniversiteler genellikle çeşitli öğrenci kulüpleri sunarlar, bu kulüpler sosyal, kültürel, akademik, mesleki veya spor odaklı olabilir. "
Yaklaşan etkinlikler hakkında bilgi alabilir miyim?,"Bir üniversite öğrencisi kampüste düzenlenen etkinliklere katılmak veya bir konferansa katılmak isteyebilir ve bu nedenle önümüzdeki günlerde veya haftalarda gerçekleşecek etkinlikler hakkında bilgi almak isteyebilir. Bu soru, etkinlik takvimlerini kontrol etme, ilgili departmanlarla iletişime geçme veya sosyal medya platformlarını kullanma gibi çeşitli yöntemlerle yanıtlanabilir. İlgili kurum veya organizasyonlar genellikle etkinliklerini duyurmak için web sitelerini, e-posta bültenlerini, sosyal medya hesaplarını veya afişlerini kullanırlar. Bu soru, kişilere yaklaşan etkinlikler hakkında bilgi alarak katılım planlarını düzenleme konusunda yardımcı olur."
Bölüm hakkındaki duyuruları nereden öğrenebilirim?,"Bir öğrencinin veya personelin bir okul veya üniversitedeki belirli bir bölümle ilgili güncel duyuruları bulmak istediği durumda kullanılır. Bu duyurular, bölümle ilgili önemli etkinlikler, ders programı değişiklikleri, sınav tarihleri veya özel etkinlikler gibi bilgileri içerebilir. Öğrenciler veya personel bu bilgilere genellikle bölüm web sitesi, duyuru panoları, e-posta listeleri veya akademik danışmanlar aracılığıyla ulaşabilirler. Bu kaynaklar, güncel ve önemli bölüm bilgilerini sağlamak için kullanılır."
B101-B102-B103-B104 sınıfları veya derslikleri nerededir?,Teknoloji Fakültesi B Blok 1. kattadır.
A303-A304-A305-A306 derslikleri veya sınıfları nerededir?,Teknoloji Fakültesi A Blok 3. kattadır.
A404-A405-A406 derslikleri veya sınıfları nerededir?,Teknoloji Fakültesi A Blok 4. kattadır.
C101-C105 sınıfları veya derslikleri nerededir?,Teknoloji Fakültesi C Blok 1. kattadır.
D101-D105 sınıfları veya derslikleri nerededir?,Teknoloji Fakültesi D Blok 1. kattadır.
A205-A206 derslikleri veya sınıfları nerededir?,Teknoloji Fakültesi A Blok 2. kattadır.
"Ders kayıt nedir, nasıl
yapılır?","Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
"Akademik Takvim nedir,
nereden bulabilirim?","Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
"İkinci öğretim
öğrencisiyim harç (katkı
payı) yatırıyor muyum?",İkinci Öğretim öğrencileri harç yatırmaktadır.
"Öğrenci belgesi ve
transkripti nerden
alabilirim?","Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
"Sınav programında ortak
derslerin sınavlarını
göremiyorum. Nerden
bulabilirim?",Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
"Danışman hocam kim?
Nasıl iletişim
kurmalıyım?",Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
"e-Devlet üzerinden kayıt
yaptım oldu mu? ",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"Uzaktan eğitim sistemine
nereden gireceğim?","Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
"İsteğe bağlı hazırlık
sınıfı seçtim, Yabancı
Diller Yüksekokuluna
nasıl kayıt olacağım?",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"Öğrenci fotoğrafımı
güncelledim,
onaylanması için ne
yapmam gerek?","Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
"Ders kayıt sırasında Türk
Dili seçilmiyor, nasıl
seçebilirim?","OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
"Hazırlık öğrencileri harç
(katkı payı) yatıracak
mı?","İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
"Harç nereden
yatırılacaktır?","Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
"Harcı hangi tarihe kadar
yatırmalıyız?","Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
"Fırat Üniversitesi
Yazılım Mühendisliği
UOLP bölümünden bu
sene ÖSYM puanı ile
Türkçe Yazılım
Mühendisliğine yatay
geçiş yaptım. 3. sınıfa
geçtim fakat OBS
üzerinde 1. sınıf olarak
görünüyor. Öğrenci İşleri
ders intibaklarının
Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir.
Fakülte tarafından
yapılması gerekiyor dedi.
Şuan ders kayıtları da
başladı. Ne yapmamız
gerekiyor yardımcı
olabilir misiniz?","Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
"Ders seçimi yaparken
Algoritma ve
Programlamada hata
alıyorum nasıl
yapacağım
yardımcı olur musunuz?
(Soruyu soran MTOK
öğrencisi)","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Ders kayıtlarında, ders
seçiminde Yazılım Müh.
(MTOK) programındaki
öğrenciler “Yazılım Müh.”, Yazılım
Müh. (MTOK)(İ.Ö)
programındaki öğrenciler
ise “Yazılım Müh. (İ.Ö)”
programından ders
seçimi yapacaklar mı?",Evet.
